2023-11-30 09:52:14 install gzip:loong64 <none> 1.12-1+b1
2023-11-30 09:52:14 status half-installed gzip:loong64 1.12-1+b1
2023-11-30 09:52:15 status unpacked gzip:loong64 1.12-1+b1
2023-11-30 09:52:15 install hostname:loong64 <none> 3.23+nmu1+b1
2023-11-30 09:52:15 status half-installed hostname:loong64 3.23+nmu1+b1
2023-11-30 09:52:15 status unpacked hostname:loong64 3.23+nmu1+b1
2023-11-30 09:52:15 install init-system-helpers:all <none> 1.66
2023-11-30 09:52:15 status half-installed init-system-helpers:all 1.66
2023-11-30 09:52:15 status unpacked init-system-helpers:all 1.66
2023-11-30 09:52:16 install libacl1:loong64 <none> 2.3.1-3+b1
2023-11-30 09:52:16 status half-installed libacl1:loong64 2.3.1-3+b1
2023-11-30 09:52:16 status unpacked libacl1:loong64 2.3.1-3+b1
2023-11-30 09:52:16 install libapt-pkg6.0:loong64 <none> 2.7.7
2023-11-30 09:52:16 status half-installed libapt-pkg6.0:loong64 2.7.7
2023-11-30 09:52:17 status unpacked libapt-pkg6.0:loong64 2.7.7
2023-11-30 09:52:17 install libattr1:loong64 <none> 1:2.5.1-4+b1
2023-11-30 09:52:17 status half-installed libattr1:loong64 1:2.5.1-4+b1
2023-11-30 09:52:17 status unpacked libattr1:loong64 1:2.5.1-4+b1
2023-11-30 09:52:17 install libaudit-common:all <none> 1:3.1.1-1
2023-11-30 09:52:17 status half-installed libaudit-common:all 1:3.1.1-1
2023-11-30 09:52:18 status unpacked libaudit-common:all 1:3.1.1-1
2023-11-30 09:52:18 install libaudit1:loong64 <none> 1:3.1.1-1
2023-11-30 09:52:18 status half-installed libaudit1:loong64 1:3.1.1-1
2023-11-30 09:52:18 status unpacked libaudit1:loong64 1:3.1.1-1
2023-11-30 09:52:18 install libbz2-1.0:loong64 <none> 1.0.8-5+b1
2023-11-30 09:52:18 status half-installed libbz2-1.0:loong64 1.0.8-5+b1
2023-11-30 09:52:19 status unpacked libbz2-1.0:loong64 1.0.8-5+b1
2023-11-30 09:52:19 install libcap-ng0:loong64 <none> 0.8.3-1+b1
2023-11-30 09:52:19 status half-installed libcap-ng0:loong64 0.8.3-1+b1
2023-11-30 09:52:19 status unpacked libcap-ng0:loong64 0.8.3-1+b1
2023-11-30 09:52:19 install libcap2:loong64 <none> 1:2.66-4+b1
2023-11-30 09:52:19 status half-installed libcap2:loong64 1:2.66-4+b1
2023-11-30 09:52:20 status unpacked libcap2:loong64 1:2.66-4+b1
2023-11-30 09:52:20 install libcom-err2:loong64 <none> 1.47.0-2+b1
2023-11-30 09:52:20 status half-installed libcom-err2:loong64 1.47.0-2+b1
2023-11-30 09:52:20 status unpacked libcom-err2:loong64 1.47.0-2+b1
2023-11-30 09:52:21 install libcrypt1:loong64 <none> 1:4.4.36-2
2023-11-30 09:52:21 status half-installed libcrypt1:loong64 1:4.4.36-2
2023-11-30 09:52:21 status unpacked libcrypt1:loong64 1:4.4.36-2
2023-11-30 09:52:21 install libdb5.3:loong64 <none> 5.3.28+dfsg2-4
2023-11-30 09:52:21 status half-installed libdb5.3:loong64 5.3.28+dfsg2-4
2023-11-30 09:52:22 status unpacked libdb5.3:loong64 5.3.28+dfsg2-4
2023-11-30 09:52:22 install libdebconfclient0:loong64 <none> 0.271
2023-11-30 09:52:22 status half-installed libdebconfclient0:loong64 0.271
2023-11-30 09:52:22 status unpacked libdebconfclient0:loong64 0.271
2023-11-30 09:52:22 install libext2fs2:loong64 <none> 1.47.0-2+b1
2023-11-30 09:52:22 status half-installed libext2fs2:loong64 1.47.0-2+b1
2023-11-30 09:52:22 status unpacked libext2fs2:loong64 1.47.0-2+b1
2023-11-30 09:52:23 install libffi8:loong64 <none> 3.4.4-2
2023-11-30 09:52:23 status half-installed libffi8:loong64 3.4.4-2
2023-11-30 09:52:23 status unpacked libffi8:loong64 3.4.4-2
